iter	R2	RMSE
465	0.9908549097	79237.32406
466	0.9908719344	79163.53469
467	0.9908908201	79081.59875
468	0.990900714	79038.64016
469	0.9909161468	78971.58502
470	0.9909261233	78928.20729
471	0.9909391158	78871.67988
472	0.9909546933	78803.85272
473	0.9909667952	78751.1182
474	0.9909846905	78673.07448
475	0.9910051315	78583.83345
476	0.9910194634	78521.20321
477	0.9910354326	78451.35868
478	0.9910571817	78356.1347
479	0.9910719016	78291.62115
480	0.9910837045	78239.85325
481	0.9910936538	78196.189
482	0.9911104604	78122.3749
483	0.9911242512	78061.75339
484	0.9911395719	77994.3522
485	0.9911583529	77911.64799
486	0.9911668578	77874.1668
487	0.99117703	77829.31412
488	0.9911945088	77752.18374
489	0.9912143164	77664.68418
490	0.9912384564	77557.91318
491	0.9912529765	77493.61994
492	0.991272468	77407.22978
493	0.9912799178	77374.1854
494	0.9912983172	77292.51265
495	0.9913131514	77226.60236
496	0.9913304105	77149.8471
497	0.9913478883	77072.04092
498	0.9913691619	76977.23129
499	0.9913922967	76873.9943
500	0.9914019313	76830.95948
501	0.9914183312	76757.65131
502	0.9914317291	76697.7098
503	0.9914467579	76630.41631
504	0.9914584503	76578.0208
505	0.9914787612	76486.91938
506	0.9914909812	76432.05603
507	0.991507796	76356.49937
508	0.9915283738	76263.93202
509	0.9915397032	76212.91998
510	0.991553157	76152.29776
511	0.9915732074	76061.86208
512	0.9915882021	75994.15956
513	0.9916071395	75908.56894
514	0.9916222288	75840.30118
515	0.9916365961	75775.24292
516	0.9916506375	75711.6063
517	0.991659882	75669.68025
518	0.9916691239	75627.74292
519	0.9916831278	75564.15263
520	0.991694847	75510.8953
521	0.9917033965	75472.01922
522	0.9917167198	75411.39559
523	0.9917257658	75370.20683
524	0.9917370474	75318.80712
525	0.9917490098	75264.26715
526	0.9917591406	75218.04721
527	0.9917754716	75143.47993
528	0.9917905777	75074.4399
529	0.9918094124	74988.26938
530	0.9918223972	74928.80517
531	0.9918362848	74865.15441
532	0.9918493236	74805.3444
533	0.9918643683	74736.27383
534	0.9918743345	74690.48389
535	0.9918871885	74631.38387
536	0.9918910913	74613.43015
537	0.9919060571	74544.54504
538	0.9919171474	74493.4574
539	0.9919274483	74445.97444
540	0.9919347297	74412.39208
541	0.9919437468	74370.78307
542	0.9919533673	74326.3645
543	0.991960404	74293.85852
544	0.9919735223	74233.22046
545	0.991980792	74199.59601
546	0.9919908165	74153.20453
547	0.9919988123	74116.18076
548	0.9920132043	74049.4929
